Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
6503401,Macarrão,1,Cru(a),158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,2,Cozido(a),158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,3,Grelhado(a)/brasa/churrasco,158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,4,Assado(a),158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,5,Frito(a),"186,68","5,8","4,17","30,86","1,8"
6503401,Macarrão,6,Empanado(a)/à milanesa,"186,68","5,8","4,17","30,86","1,8"
6503401,Macarrão,7,Refogado(a),"186,68","5,8","4,17","30,86","1,8"
6503401,Macarrão,8,Molho vermelho,"103,73","3,5","1,92","18,27","1,46"
6503401,Macarrão,9,Molho branco,"158,99","5,42","3,23","26,54","1,48"
6503401,Macarrão,10,Ao alho e óleo,"186,68","5,8","4,17","30,86","1,8"
6503401,Macarrão,11,Com manteiga/óleo,"182,22","5,83","3,67","30,86","1,8"
6503401,Macarrão,12,Ao vinagrete,158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,13,Ensopado,"186,68","5,8","4,17","30,86","1,8"
6503401,Macarrão,15,Sopa,158,"5,8","0,93","30,86","1,8"
6503401,Macarrão,99,Não se aplica,158,"5,8","0,93","30,86","1,8"
6503501,Purê de batata,99,Não se aplica,"115,16","1,81","4,36","17,76","1,78"
6503601,Bife vegetal,99,Não se aplica,"142,37","18,51","5,32","5,8","0,44"
6503603,Carne vegetal,5,Frito(a),"142,37","18,51","5,32","5,8","0,44"
6503604,Pasta de soja,99,Não se aplica,62,"6,9","2,7","2,4","0,1"
6503605,Carne de soja,99,Não se aplica,"142,37","18,51","5,32","5,8","0,44"
6503702,Amendoim moído,99,Não se aplica,567,"25,8","49,24","16,13","8,5"
6504101,Granola,99,Não se aplica,388,"9,5","6,3","73,8","8,5"
6504601,Musli,99,Não se aplica,388,"9,5","6,3","73,8","8,5"
6504701,Mix de cereais,99,Não se aplica,388,"9,5","6,3","73,8","8,5"
6504801,Miojo,99,Não se aplica,"189,86","5,65","7,18","25,54","1,16"
6504802,Macarrão instantâneo,99,Não se aplica,"189,86","5,65","7,18","25,54","1,16"
6505101,Sustagem,99,Não se aplica,"369,15","24,05","0,49","68,02",-
6505601,Proteína de soja,99,Não se aplica,"142,37","18,51","5,32","5,8","0,44"
6505603,Proteína vegetal,99,Não se aplica,"142,37","18,51","5,32","5,8","0,44"
6505701,Complemento alimentar de qualquer sabor,99,Não se aplica,"369,15","24,05","0,49","68,02",-
6505902,Sucrilhos de milho light,99,Não se aplica,365,"7,2",1,"83,8","4,1"
6506003,Mini pizza semipronta light,4,Assado(a),"255,57","14,6","8,45","29,82","1,74"
6506302,Macarrão instantâneo light,15,Sopa,"189,86","5,65","7,18","25,54","1,16"
6506302,Macarrão instantâneo light,99,Não se aplica,"189,86","5,65","7,18","25,54","1,16"
6506401,Proteína de soja orgânica,99,Não se aplica,"142,37","18,51","5,32","5,8","0,44"
6573225,Macarrão com carne,99,Não se aplica,"120,59","6,22","2,79","17,42","1,25"
6573226,Macarrão com peixe,99,Não se aplica,"163,17","14,98","4,13","15,43","0,9"
"Cocos, castanhas e nozes",,,,,,,,
6600101,Coco-da-baía (seco ou verde),99,Não se aplica,354,"3,33","33,49","15,23",9
6600301,Castanha portuguesa,99,Não se aplica,131,2,"1,38","27,76","4,14"
6600401,Pinhão,99,Não se aplica,"174,37","2,98","0,75","43,92","15,6"
6600501,Amêndoa,99,Não se aplica,578,"21,26","50,64","19,74","11,8"
6600601,Avelã,99,Não se aplica,628,"14,95","60,75","16,7","9,7"
6600701,Castanha-do-pará,99,Não se aplica,656,"14,32","66,43","12,27","7,5"
6600801,Castanha de caju,99,Não se aplica,574,"15,31","46,35","32,69",3
6600912,Butiá,99,Não se aplica,105,"1,9",2,"22,8","7,4"
6601108,Tucumã,99,Não se aplica,474,"5,5","47,2","6,8","19,2"
6601208,Coco de mucajá,99,Não se aplica,"404,28","2,08","40,66","13,95","13,44"
6601501,Noz (nogueira),99,Não se aplica,654,"15,23","65,21","13,71","6,7"
6601706,Açaí,99,Não se aplica,262,"3,6",2,"57,4","5,92"
6601707,Juçara,99,Não se aplica,262,"3,6",2,"57,4","5,92"
6601709,Uaçaí,99,Não se aplica,262,"3,6",2,"57,4","5,92"
6601712,Jussara,99,Não se aplica,262,"3,6",2,"57,4","5,92"
6601805,Pupunha,99,Não se aplica,28,"2,52","0,62","4,62","2,4"
6601902,Bacaba,99,Não se aplica,212,"3,12","19,8","6,6",-
6601904,Bacabuçu,99,Não se aplica,212,"3,12","19,8","6,6",-
6602001,Castanha-da-índia,99,Não se aplica,656,"14,32","66,43","12,27","7,5"
6602201,Pistache,99,Não se aplica,557,"20,61","44,44","27,97","10,3"
6602301,Buriti,99,Não se aplica,145,"1,8","8,1","10,2","9,6"
6602401,Coco,99,Não se aplica,354,"3,33","33,49","15,23",9
6602601,Patauá,99,Não se aplica,105,"1,9",2,"22,8","7,4"
"Hortaliças folhosas, frutosas e outras",,,,,,,,
6700101,Alface,99,Não se aplica,15,"1,36","0,15","2,79","1,3"
6700201,Bertalha,7,Refogado(a),"45,3","2,97","2,78","3,75","2,4"
6700301,Chicória,1,Cru(a),17,"1,25","0,2","3,35","3,1"
6700301,Chicória,2,Cozido(a),"58,88","1,9","3,89","5,63",2
6700301,Chicória,7,Refogado(a),"58,88","1,9","3,89","5,63",2
6700301,Chicória,12,Ao vinagrete,"58,88","1,9","3,89","5,63",2
6700304,Escarola,99,Não se aplica,"52,88","1,61","3,75","4,31","3,99"
