Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
7107805,Filé não especificado,6,Empanado(a)/à milanesa,"242,84","31,13","11,61","3,39","0,14"
7107805,Filé não especificado,7,Refogado(a),"226,66","30,67","11,56",-,-
7107805,Filé não especificado,8,Molho vermelho,168,"24,8","7,24","1,08","0,3"
7107805,Filé não especificado,11,Com manteiga/óleo,"223,14","30,69","11,17",0,-
7107805,Filé não especificado,13,Ensopado,"226,66","30,67","11,56",-,-
7107805,Filé não especificado,99,Não se aplica,204,"30,67",9,-,-
7108107,Miúdo de bode,2,Cozido(a),191,"29,08","5,26","5,13",-
7108301,Pé suíno fresco,2,Cozido(a),214,"28,81","10,13",-,-
7108301,Pé suíno fresco,3,Grelhado(a)/brasa/churrasco,214,"28,81","10,13",-,-
7108301,Pé suíno fresco,5,Frito(a),"236,66","28,81","12,69",-,-
7109101,Carne bovina,1,Cru(a),242,"24,22","15,42",-,-
7109101,Carne bovina,2,Cozido(a),242,"24,22","15,42",-,-
7109101,Carne bovina,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7109101,Carne bovina,4,Assado(a),242,"24,22","15,42",-,-
7109101,Carne bovina,5,Frito(a),"264,66","24,22","17,98",-,-
7109101,Carne bovina,6,Empanado(a)/à milanesa,"280,84","24,68","18,03","3,39","0,14"
7109101,Carne bovina,7,Refogado(a),"264,66","24,22","17,98",-,-
7109101,Carne bovina,8,Molho vermelho,"198,4","19,64","12,37","1,08","0,3"
7109101,Carne bovina,9,Molho branco,"226,19","20,16","14,83","1,85","0,04"
7109101,Carne bovina,10,Ao alho e óleo,"261,14","24,24","17,59",0,-
7109101,Carne bovina,11,Com manteiga/óleo,"261,14","24,24","17,59",0,-
7109101,Carne bovina,12,Ao vinagrete,242,"24,22","15,42",-,-
7109101,Carne bovina,13,Ensopado,"264,66","24,22","17,98",-,-
7109101,Carne bovina,15,Sopa,"63,94","3,81","1,81","7,73","0,39"
7109101,Carne bovina,99,Não se aplica,242,"24,22","15,42",-,-
7110601,Lombo não especificado,1,Cru(a),289,"25,34","20,06",-,-
7110601,Lombo não especificado,2,Cozido(a),289,"25,34","20,06",-,-
7110601,Lombo não especificado,4,Assado(a),289,"25,34","20,06",-,-
7110601,Lombo não especificado,5,Frito(a),"338,57","25,34","25,67",-,-
7110601,Lombo não especificado,9,Molho branco,289,"25,34","20,06",-,-
7110801,Músculo não especificado,2,Cozido(a),199,"36,12",5,-,-
7110801,Músculo não especificado,13,Ensopado,"221,66","36,12","7,56",-,-
7110902,Ossada não especificada,2,Cozido(a),164,"26,13","5,81",-,-
7110902,Ossada não especificada,7,Refogado(a),"186,66","26,13","8,37",-,-
7110902,Ossada não especificada,15,Sopa,164,"26,13","5,81",-,-
7110902,Ossada não especificada,99,Não se aplica,164,"26,13","5,81",-,-
7111202,Carne de segunda,1,Cru(a),242,"24,22","15,42",-,-
7111202,Carne de segunda,2,Cozido(a),242,"24,22","15,42",-,-
7111202,Carne de segunda,3,Grelhado(a)/brasa/churrasco,242,"24,22","15,42",-,-
7111202,Carne de segunda,4,Assado(a),242,"24,22","15,42",-,-
7111202,Carne de segunda,5,Frito(a),"264,66","24,22","17,98",-,-
7111202,Carne de segunda,6,Empanado(a)/à milanesa,"280,84","24,68","18,03","3,39","0,14"
7111202,Carne de segunda,7,Refogado(a),"264,66","24,22","17,98",-,-
7111202,Carne de segunda,8,Molho vermelho,"198,4","19,64","12,37","1,08","0,3"
7111202,Carne de segunda,10,Ao alho e óleo,"261,14","24,24","17,59",0,-
7111202,Carne de segunda,13,Ensopado,"264,66","24,22","17,98",-,-
7111401,Contrafilé orgânico,4,Assado(a),204,"30,67",9,-,-
7111405,Bisteca orgânica,4,Assado(a),471,"21,57","41,98",-,-
7111405,Bisteca orgânica,5,Frito(a),471,"21,57","41,98",-,-
7111702,Cabeça de lombo (carne bovina) orgânica,1,Cru(a),199,"36,12",5,-,-
7111702,Cabeça de lombo (carne bovina) orgânica,4,Assado(a),199,"36,12",5,-,-
7111702,Cabeça de lombo (carne bovina) orgânica,5,Frito(a),"248,57","36,12","10,61",-,-
7111806,Tatu (lagarto redondo) orgânico,4,Assado(a),199,"36,12",5,-,-
Pescados e frutos do mar,,,,,,,,
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",1,Cru(a),117,"24,16","1,53",-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",8,Molho vermelho,"98,4","19,59","1,26","1,08","0,3"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",9,Molho branco,"140,05","20,81","5,11","1,47","0,07"
7200101,"Peixe de mar (inteiro, em posta, em filé, etc.)",13,Ensopado,"139,66","24,16","4,09",-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",9,Molho branco,"140,05","20,81","5,11","1,47","0,07"
7200401,"Peixe de mar salgado (inteiro, em posta, em filé, etc.)",13,Ensopado,"139,66","24,16","4,09",-,-
7260101,Camarão,1,Cru(a),99,"20,91","1,08",-,-
7260101,Camarão,2,Cozido(a),99,"20,91","1,08",-,-
7260101,Camarão,3,Grelhado(a)/brasa/churrasco,99,"20,91","1,08",-,-
7260101,Camarão,4,Assado(a),99,"20,91","1,08",-,-
7260101,Camarão,5,Frito(a),"121,66","20,91","3,64",-,-
7260101,Camarão,6,Empanado(a)/à milanesa,"137,84","21,37","3,69","3,39","0,14"
7260101,Camarão,7,Refogado(a),"121,66","20,91","3,64",-,-
7260101,Camarão,8,Molho vermelho,84,"16,99","0,9","1,08","0,3"
7260101,Camarão,9,Molho branco,"125,65","18,21","4,75","1,47","0,07"
7260101,Camarão,10,Ao alho e óleo,"121,66","20,91","3,64",-,-
7260101,Camarão,13,Ensopado,"121,66","20,91","3,64",-,-
7260101,Camarão,99,Não se aplica,99,"20,91","1,08",-,-
7261101,Siri,2,Cozido(a),102,"20,2","1,77",-,-
7261101,Siri,6,Empanado(a)/à milanesa,"140,84","20,66","4,38","3,39","0,14"
7261101,Siri,7,Refogado(a),"124,66","20,2","4,33",-,-
7261120,Bau (siri),2,Cozido(a),102,"20,2","1,77",-,-
7261121,Goiá,1,Cru(a),102,"20,2","1,77",-,-
7262101,Caranguejo,2,Cozido(a),102,"20,2","1,77",-,-
7262101,Caranguejo,4,Assado(a),102,"20,2","1,77",-,-
7262101,Caranguejo,12,Ao vinagrete,102,"20,2","1,77",-,-
7262105,Guaiamu,2,Cozido(a),102,"20,2","1,77",-,-
7263101,Marisco,2,Cozido(a),148,"25,55","1,95","5,13",-
7263101,Marisco,5,Frito(a),"170,66","25,55","4,51","5,13",-
7263101,Marisco,8,Molho vermelho,"123,2","20,7","1,6","5,18","0,3"
7263101,Marisco,99,Não se aplica,148,"25,55","1,95","5,13",-
7264101,Ostra,2,Cozido(a),137,"14,1","4,91","7,82",-
7265101,Lula,6,Empanado(a)/à milanesa,"143,84","18,32","4,19","6,92","0,14"
7266101,Sururu,2,Cozido(a),148,"25,55","1,95","5,13",-
7266101,Sururu,13,Ensopado,"170,66","25,55","4,51","5,13",-
7270401,Bacalhau,2,Cozido(a),117,"24,16","1,53",-,-
7270401,Bacalhau,4,Assado(a),117,"24,16","1,53",-,-
7270401,Bacalhau,5,Frito(a),"139,66","24,16","4,09",-,-
7270401,Bacalhau,6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7270401,Bacalhau,7,Refogado(a),"139,66","24,16","4,09",-,-
7270401,Bacalhau,8,Molho vermelho,"98,4","19,59","1,26","1,08","0,3"
7270401,Bacalhau,13,Ensopado,"139,66","24,16","4,09",-,-
7270401,Bacalhau,99,Não se aplica,117,"24,16","1,53",-,-
7273101,Ovas de peixe (qualquer espécie),4,Assado(a),204,"28,62","8,23","1,92",-
7273101,Ovas de peixe (qualquer espécie),5,Frito(a),"226,66","28,62","10,79","1,92",-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",1,Cru(a),117,"24,16","1,53",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",7,Refogado(a),"139,66","24,16","4,09",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",8,Molho vermelho,"98,4","19,59","1,26","1,08","0,3"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",9,Molho branco,"126,19","20,11","3,71","1,85","0,04"
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",13,Ensopado,"139,66","24,16","4,09",-,-
7400101,"Peixe de água doce (inteiro, em posta, em filé, etc.)",99,Não se aplica,117,"24,16","1,53",-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",8,Molho vermelho,"98,4","19,59","1,26","1,08","0,3"
7400401,"Peixe de água doce salgado (inteiro, em posta, em filé, etc.)",13,Ensopado,"139,66","24,16","4,09",-,-
7444101,Tracajá,2,Cozido(a),117,"24,16","1,53",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",1,Cru(a),117,"24,16","1,53",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",7,Refogado(a),"139,66","24,16","4,09",-,-
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",8,Molho vermelho,"98,4","19,59","1,26","1,08","0,3"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",9,Molho branco,"140,05","20,81","5,11","1,47","0,07"
7600101,"Peixe não especificado (inteiro, em posta, em filé, etc.)",13,Ensopado,"139,66","24,16","4,09",-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",2,Cozido(a),117,"24,16","1,53",-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",3,Grelhado(a)/brasa/churrasco,117,"24,16","1,53",-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",4,Assado(a),117,"24,16","1,53",-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",5,Frito(a),"139,66","24,16","4,09",-,-
7600401,"Peixe não especificado salgado (inteiro, em posta, em filé, etc.)",6,Empanado(a)/à milanesa,"155,84","24,62","4,14","3,39","0,14"
Enlatados e conservas,,,,,,,,
7700101,Azeitona,99,Não se aplica,145,"1,03","15,32","3,84","3,3"
7700201,Ervilha em conserva,99,Não se aplica,69,"4,42","0,35","12,58","4,1"
7700202,Petit-pois,99,Não se aplica,69,"4,42","0,35","12,58","4,1"
7700401,Milho verde em conserva,99,Não se aplica,81,"2,64","0,93","18,8","1,9"
7700501,Palmito em conserva,99,Não se aplica,28,"2,52","0,62","4,62","2,4"
7700601,Cogumelo em conserva,99,Não se aplica,"50,74","1,87","3,2","5,09","2,4"
7700602,Champignon em conserva,99,Não se aplica,"50,74","1,87","3,2","5,09","2,4"
7700701,Aspargo em conserva,99,Não se aplica,19,"2,14","0,65","2,46","1,6"
7700901,Repolho em conserva,99,Não se aplica,19,"0,91","0,14","4,28","2,9"
7700902,Chucrute,99,Não se aplica,19,"0,91","0,14","4,28","2,9"
7701101,Legume não especificado em conserva,99,Não se aplica,47,"2,53","0,26","9,06","2,8"
7701404,Creme de cebola (sopa desidratada),99,Não se aplica,"46,31","0,82","2,47","5,34","0,2"
7701405,Creme de legumes (sopa desidratada),99,Não se aplica,"10,55","0,48","0,02","2,15","0,23"
7701406,Yakissoba,99,Não se aplica,527,"8,38","30,76","57,54","3,9"
7701501,Milho verde com ervilha em conserva,1,Cru(a),"79,52","3,83","0,47","16,81","2,96"
7701501,Milho verde com ervilha em conserva,2,Cozido(a),"79,52","3,83","0,47","16,81","2,96"
7701501,Milho verde com ervilha em conserva,5,Frito(a),"79,52","3,83","0,47","16,81","2,96"
7701501,Milho verde com ervilha em conserva,99,Não se aplica,"79,52","3,83","0,47","16,81","2,96"
7701901,Feijoada,99,Não se aplica,"181,59","11,11","7,9","16,92","5,68"
7702001,Feijão branco com dobradinha em conserva,99,Não se aplica,"136,38","10,68","5,91","10,2","2,33"
7702101,Cozido,99,Não se aplica,"87,33","5,61","3,79","7,93","1,74"
7702302,Pasta de carne em conserva,99,Não se aplica,"245,65","9,89","16,89","14,1","0,17"
7702402,Pasta de presunto em conserva,99,Não se aplica,"276,46","17,86","21,43","1,8",-
7702502,Pasta de galinha em conserva,99,Não se aplica,"214,36","16,39","14,53","3,66","0,25"
7702601,Carne bovina em conserva,99,Não se aplica,242,"24,22","15,42",-,-
7702602,Almôndega,99,Não se aplica,"214,85","20,64","9,2",11,"0,76"
7702603,Kitute bovino,99,Não se aplica,242,"24,22","15,42",-,-
7702604,Almôndega ao molho em conserva,99,Não se aplica,"203,52","16,16","10,72","9,7","0,91"
7702704,Kitute suíno,99,Não se aplica,178,"22,62","9,02",-,-
7702705,Presuntada,99,Não se aplica,178,"22,62","9,02",-,-
7702707,Fiambre,1,Cru(a),178,"22,62","9,02",-,-
7702707,Fiambre,2,Cozido(a),178,"22,62","9,02",-,-
7702707,Fiambre,4,Assado(a),178,"22,62","9,02",-,-
7702707,Fiambre,5,Frito(a),178,"22,62","9,02",-,-
7702801,Salsicha em conserva,99,Não se aplica,"269,08","8,3","25,81","0,27","0,01"
7703002,Sardinha em conserva,99,Não se aplica,208,"24,62","11,45",-,-
7703402,Atum em conserva,99,Não se aplica,198,"29,13","8,21",-,-
7703701,Pepino em conserva,99,Não se aplica,12,"0,6","0,14","2,59","1,1"
7703902,Pasta de peixe em conserva,99,Não se aplica,198,"29,13","8,21",-,-
7704001,Picles,99,Não se aplica,12,"0,6","0,14","2,59","1,1"
7705201,Nabo em conserva,99,Não se aplica,"43,26","0,87","0,19","9,94","1,59"
7705401,Strogonoff,99,Não se aplica,"147,68","12,83","9,11","4,13","0,44"
7706001,Salmão em conserva,99,Não se aplica,136,"23,08","4,83",-,-
7706104,Creme de cebola (sopa desidratada) light,99,Não se aplica,"46,31","0,82","2,47","5,34","0,2"
7706105,Creme de legumes (sopa desidratada) light,99,Não se aplica,"10,55","0,48","0,02","2,15","0,23"
7706106,Yakissoba (sopa de legumes desidratada) light,99,Não se aplica,"80,04","3,01","0,47","15,61","0,97"
7706302,Atum em conserva light,99,Não se aplica,116,"25,51","0,82",-,-
Aves e ovos,,,,,,,,
7800103,Frango inteiro,1,Cru(a),239,"27,3","13,6",-,-
7800103,Frango inteiro,2,Cozido(a),239,"27,3","13,6",-,-
7800103,Frango inteiro,3,Grelhado(a)/brasa/churrasco,239,"27,3","13,6",-,-
7800103,Frango inteiro,4,Assado(a),239,"27,3","13,6",-,-
7800103,Frango inteiro,5,Frito(a),"261,66","27,3","16,16",-,-
7800103,Frango inteiro,6,Empanado(a)/à milanesa,"277,84","27,76","16,21","3,39","0,14"
7800103,Frango inteiro,7,Refogado(a),"261,66","27,3","16,16",-,-
7800103,Frango inteiro,8,Molho vermelho,196,"22,1","10,92","1,08","0,3"
7800103,Frango inteiro,13,Ensopado,"261,66","27,3","16,16",-,-
7800301,Parte de galinha ou frango não especificada,1,Cru(a),239,"27,3","13,6",-,-
7800301,Parte de galinha ou frango não especificada,2,Cozido(a),239,"27,3","13,6",-,-
7800301,Parte de galinha ou frango não especificada,3,Grelhado(a)/brasa/churrasco,239,"27,3","13,6",-,-
7800301,Parte de galinha ou frango não especificada,4,Assado(a),239,"27,3","13,6",-,-
7800301,Parte de galinha ou frango não especificada,5,Frito(a),"261,66","27,3","16,16",-,-
7800301,Parte de galinha ou frango não especificada,6,Empanado(a)/à milanesa,"277,84","27,76","16,21","3,39","0,14"
7800301,Parte de galinha ou frango não especificada,7,Refogado(a),"261,66","27,3","16,16",-,-
7800301,Parte de galinha ou frango não especificada,8,Molho vermelho,196,"22,1","10,92","1,08","0,3"
7800301,Parte de galinha ou frango não especificada,13,Ensopado,"261,66","27,3","16,16",-,-
7800301,Parte de galinha ou frango não especificada,99,Não se aplica,239,"27,3","13,6",-,-
7800302,Frango em pedaços,1,Cru(a),239,"27,3","13,6",-,-
7800302,Frango em pedaços,2,Cozido(a),239,"27,3","13,6",-,-
7800302,Frango em pedaços,3,Grelhado(a)/brasa/churrasco,239,"27,3","13,6",-,-
7800302,Frango em pedaços,4,Assado(a),239,"27,3","13,6",-,-
7800302,Frango em pedaços,5,Frito(a),"261,66","27,3","16,16",-,-
7800302,Frango em pedaços,6,Empanado(a)/à milanesa,"277,84","27,76","16,21","3,39","0,14"
7800302,Frango em pedaços,7,Refogado(a),"261,66","27,3","16,16",-,-
7800302,Frango em pedaços,8,Molho vermelho,196,"22,1","10,92","1,08","0,3"
7800302,Frango em pedaços,9,Molho branco,"226,79","22,6","13,71","1,85","0,04"
7800302,Frango em pedaços,10,Ao alho e óleo,"261,66","27,3","16,16",-,-
7800302,Frango em pedaços,11,Com manteiga/óleo,"192,14","30,93","6,68",0,-
7800302,Frango em pedaços,13,Ensopado,"261,66","27,3","16,16",-,-
7800302,Frango em pedaços,15,Sopa,"31,47","1,61","1,06","3,64","0,13"
7800302,Frango em pedaços,99,Não se aplica,239,"27,3","13,6",-,-
7800303,Galinha em pedaços,2,Cozido(a),239,"27,3","13,6",-,-
7800303,Galinha em pedaços,3,Grelhado(a)/brasa/churrasco,239,"27,3","13,6",-,-
7800303,Galinha em pedaços,4,Assado(a),239,"27,3","13,6",-,-
7800303,Galinha em pedaços,5,Frito(a),"261,66","27,3","16,16",-,-
7800303,Galinha em pedaços,6,Empanado(a)/à milanesa,"277,84","27,76","16,21","3,39","0,14"
7800303,Galinha em pedaços,7,Refogado(a),"261,66","27,3","16,16",-,-
7800303,Galinha em pedaços,8,Molho vermelho,196,"22,1","10,92","1,08","0,3"
7800303,Galinha em pedaços,9,Molho branco,"226,79","22,6","13,71","1,85","0,04"
7800303,Galinha em pedaços,13,Ensopado,"261,66","27,3","16,16",-,-
7800304,Carne de galinha,1,Cru(a),239,"27,3","13,6",-,-
7800304,Carne de galinha,2,Cozido(a),239,"27,3","13,6",-,-
7800304,Carne de galinha,3,Grelhado(a)/brasa/churrasco,239,"27,3","13,6",-,-
7800304,Carne de galinha,4,Assado(a),239,"27,3","13,6",-,-
7800304,Carne de galinha,5,Frito(a),"261,66","27,3","16,16",-,-
7800304,Carne de galinha,6,Empanado(a)/à milanesa,"277,84","27,76","16,21","3,39","0,14"
7800304,Carne de galinha,7,Refogado(a),239,"27,3","13,6",-,-
7800304,Carne de galinha,8,Molho vermelho,"261,66","27,3","16,16",-,-
7800304,Carne de galinha,9,Molho branco,"226,79","22,6","13,71","1,85","0,04"
7800304,Carne de galinha,13,Ensopado,"261,66","27,3","16,16",-,-
7800304,Carne de galinha,15,Sopa,"31,47","1,61","1,06","3,64","0,13"
7800304,Carne de galinha,99,Não se aplica,239,"27,3","13,6",-,-
7800401,Peito de galinha ou frango,1,Cru(a),173,"30,91","4,51",-,-
7800401,Peito de galinha ou frango,2,Cozido(a),173,"30,91","4,51",-,-
7800401,Peito de galinha ou frango,3,Grelhado(a)/brasa/churrasco,173,"30,91","4,51",-,-
7800401,Peito de galinha ou frango,4,Assado(a),173,"30,91","4,51",-,-
7800401,Peito de galinha ou frango,5,Frito(a),"195,66","30,91","7,07",-,-
7800401,Peito de galinha ou frango,6,Empanado(a)/à milanesa,"211,84","31,37","7,12","3,39","0,14"
7800401,Peito de galinha ou frango,7,Refogado(a),"195,66","30,91","7,07",-,-
7800401,Peito de galinha ou frango,8,Molho vermelho,"143,2","24,99","3,64","1,08","0,3"
7800401,Peito de galinha ou frango,9,Molho branco,"170,99","25,51","6,1","1,85","0,04"
7800401,Peito de galinha ou frango,13,Ensopado,"195,66","30,91","7,07",-,-
7800401,Peito de galinha ou frango,15,Sopa,"31,47","1,61","1,06","3,64","0,13"
7800401,Peito de galinha ou frango,99,Não se aplica,173,"30,91","4,51",-,-
7800402,Filé de frango,1,Cru(a),173,"30,91","4,51",-,-
7800402,Filé de frango,2,Cozido(a),173,"30,91","4,51",-,-
7800402,Filé de frango,3,Grelhado(a)/brasa/churrasco,173,"30,91","4,51",-,-
7800402,Filé de frango,4,Assado(a),173,"30,91","4,51",-,-
7800402,Filé de frango,5,Frito(a),"195,66","30,91","7,07",-,-
7800402,Filé de frango,6,Empanado(a)/à milanesa,"211,84","31,37","7,12","3,39","0,14"
7800402,Filé de frango,7,Refogado(a),"195,66","30,91","7,07",-,-
7800402,Filé de frango,8,Molho vermelho,"143,2","24,99","3,64","1,08","0,3"
7800402,Filé de frango,9,Molho branco,"170,99","25,51","6,1","1,85","0,04"
7800402,Filé de frango,10,Ao alho e óleo,"195,66","30,91","7,07",-,-
7800402,Filé de frango,13,Ensopado,"195,66","30,91","7,07",-,-
7800402,Filé de frango,99,Não se aplica,173,"30,91","4,51",-,-
7800602,Carcaça de galinha ou frango,2,Cozido(a),173,"30,91","4,51",-,-
7800602,Carcaça de galinha ou frango,4,Assado(a),173,"30,91","4,51",-,-
7800602,Carcaça de galinha ou frango,5,Frito(a),"195,66","30,91","7,07",-,-
7800602,Carcaça de galinha ou frango,7,Refogado(a),"195,66","30,91","7,07",-,-
7800602,Carcaça de galinha ou frango,13,Ensopado,"195,66","30,91","7,07",-,-
7800701,Asa de galinha ou frango,1,Cru(a),290,"26,86","19,46",-,-
7800701,Asa de galinha ou frango,2,Cozido(a),290,"26,86","19,46",-,-
7800701,Asa de galinha ou frango,3,Grelhado(a)/brasa/churrasco,290,"26,86","19,46",-,-
7800701,Asa de galinha ou frango,4,Assado(a),290,"26,86","19,46",-,-
7800701,Asa de galinha ou frango,5,Frito(a),"312,66","26,86","22,02",-,-
7800701,Asa de galinha ou frango,6,Empanado(a)/à milanesa,"328,84","27,32","22,07","3,39","0,14"
7800701,Asa de galinha ou frango,7,Refogado(a),"312,66","26,86","22,02",-,-
7800701,Asa de galinha ou frango,8,Molho vermelho,"236,8","21,75","15,6","1,08","0,3"
7800701,Asa de galinha ou frango,13,Ensopado,"312,66","26,86","22,02",-,-
7800702,Drumete de galinha ou frango,2,Cozido(a),213,"27,73","10,5",-,-
7800702,Drumete de galinha ou frango,3,Grelhado(a)/brasa/churrasco,213,"27,73","10,5",-,-
7800702,Drumete de galinha ou frango,4,Assado(a),213,"27,73","10,5",-,-
7800702,Drumete de galinha ou frango,5,Frito(a),"235,66","27,73","13,06",-,-
7800702,Drumete de galinha ou frango,7,Refogado(a),"235,66","27,73","13,06",-,-
7800702,Drumete de galinha ou frango,8,Molho vermelho,"175,2","22,45","8,44","1,08","0,3"
7800801,Pescoço de galinha ou frango,2,Cozido(a),300,"25,95","20,97",-,-
7800801,Pescoço de galinha ou frango,4,Assado(a),300,"25,95","20,97",-,-
7800801,Pescoço de galinha ou frango,5,Frito(a),"322,66","25,95","23,53",-,-
7800801,Pescoço de galinha ou frango,7,Refogado(a),"322,66","25,95","23,53",-,-
7800801,Pescoço de galinha ou frango,9,Molho branco,"272,59","21,54","19,27","1,85","0,04"
7800901,Pé de galinha ou frango,2,Cozido(a),215,"19,4","14,6","0,2",-
7800901,Pé de galinha ou frango,3,Grelhado(a)/brasa/churrasco,215,"19,4","14,6","0,2",-
7800901,Pé de galinha ou frango,4,Assado(a),215,"19,4","14,6","0,2",-
7800901,Pé de galinha ou frango,5,Frito(a),"237,66","19,4","17,16","0,2",-
7800901,Pé de galinha ou frango,7,Refogado(a),"237,66","19,4","17,16","0,2",-
7800901,Pé de galinha ou frango,8,Molho vermelho,"176,8","15,78","11,72","1,24","0,3"
7800901,Pé de galinha ou frango,13,Ensopado,"237,66","19,4","17,16","0,2",-
7801001,Miúdo de galinha ou frango,2,Cozido(a),167,"24,46","6,51","0,87",-
7801001,Miúdo de galinha ou frango,4,Assado(a),167,"24,46","6,51","0,87",-
7801001,Miúdo de galinha ou frango,5,Frito(a),"189,66","24,46","9,07","0,87",-
7801001,Miúdo de galinha ou frango,8,Molho vermelho,"138,4","19,83","5,24","1,77","0,3"
7801001,Miúdo de galinha ou frango,15,Sopa,"31,47","1,61","1,06","3,64","0,13"
7801101,Moela de galinha ou frango,2,Cozido(a),146,"30,39","2,68",-,-
7801101,Moela de galinha ou frango,3,Grelhado(a)/brasa/churrasco,146,"30,39","2,68",-,-
7801101,Moela de galinha ou frango,5,Frito(a),"168,66","30,39","5,24",-,-
7801101,Moela de galinha ou frango,7,Refogado(a),"168,66","30,39","5,24",-,-
7801101,Moela de galinha ou frango,8,Molho vermelho,"121,6","24,58","2,18","1,08","0,3"
7801101,Moela de galinha ou frango,9,Molho branco,"149,39","25,09","4,63","1,85","0,04"
7801101,Moela de galinha ou frango,13,Ensopado,"168,66","30,39","5,24",-,-
7801101,Moela de galinha ou frango,15,Sopa,"31,47","1,61","1,06","3,64","0,13"
